"subjID" "Trial" "level1_choice" "level2_choice" "reward" "transition" "Stay" "PrReward" "PrTransition" "RT1" "RT2"
"111" 157 1 1 1 1 1 1 -1 258 238
"111" 158 1 1 0 1 1 1 1 224 199
"111" 159 1 2 0 1 1 0 1 233 15
"111" 160 2 4 0 1 0 0 1 234 390
"111" 161 1 1 0 1 0 0 1 279 223
"111" 162 1 1 1 1 1 0 1 240 230
"111" 163 1 1 1 1 1 1 1 241 226
"111" 164 1 3 1 -1 1 1 1 231 214
"111" 165 1 1 1 1 1 1 -1 245 185
"111" 166 1 1 1 1 1 1 1 232 205
"111" 167 1 1 1 1 1 1 1 253 231
"111" 168 1 1 1 1 1 1 1 253 199
"111" 169 1 1 0 1 1 1 1 221 1
"111" 170 1 2 0 1 1 0 1 262 254
"111" 171 1 3 0 -1 1 0 1 251 228
"111" 172 1 3 0 -1 1 0 -1 264 344
"111" 173 1 3 0 -1 1 0 -1 596 1357
"111" 174 1 2 0 1 1 0 -1 223 232
"111" 175 1 3 0 -1 1 0 1 313 241
"111" 176 2 2 0 -1 0 0 -1 281 265
"111" 177 1 3 0 -1 0 0 -1 260 225
"111" 178 1 2 0 1 1 0 -1 259 261
"111" 184 1 1 1 1 1 0 1 782 808
"111" 185 1 2 0 1 1 1 1 693 492
"111" 186 1 3 0 -1 1 0 1 232 449
"111" 187 1 1 1 1 1 0 -1 240 211
"111" 188 1 1 0 1 1 1 1 452 283
"111" 189 1 1 0 1 1 0 1 243 214
"111" 190 1 2 0 1 1 0 1 230 227
"111" 191 1 3 1 -1 1 0 1 272 212
"111" 192 1 1 1 1 1 1 -1 285 217
"111" 193 1 3 0 -1 1 1 1 281 223
"111" 194 1 1 0 1 1 0 -1 239 230
"111" 195 2 4 0 1 0 0 1 331 243
"111" 196 2 3 1 1 1 0 1 312 203
"111" 197 2 1 0 -1 1 1 1 274 216
"111" 198 1 1 1 1 0 0 -1 259 513
"111" 199 1 1 1 1 1 1 1 252 352
"111" 200 1 1 1 1 1 1 1 327 484
"114" 2 1 3 1 -1 1 1 1 151 563
"114" 3 1 3 0 -1 1 1 -1 296 161
"114" 4 1 1 0 1 1 0 -1 322 260
"114" 5 2 4 1 1 0 0 1 312 289
"114" 6 2 4 1 1 1 1 1 496 389
"114" 7 1 3 0 -1 0 1 1 424 214
"114" 8 2 4 1 1 0 0 -1 268 233
"114" 9 2 4 0 1 1 1 1 282 296
"114" 10 1 1 1 1 0 0 1 282 242
"114" 11 1 3 0 -1 1 1 1 241 314
"114" 12 2 4 0 1 0 0 -1 179 239
"114" 13 1 1 0 1 0 0 1 70 269
"114" 14 1 3 0 -1 1 0 1 0 734
"114" 15 1 3 0 -1 1 0 -1 333 224
"114" 16 2 4 1 1 0 0 -1 285 249
"114" 17 2 4 1 1 1 1 1 248 283
"114" 18 2 2 1 -1 1 1 1 260 248
"114" 19 2 2 0 -1 1 1 -1 257 282
"114" 20 1 1 1 1 0 0 -1 0 627
"114" 21 1 1 1 1 1 1 1 281 244
"114" 22 1 3 0 -1 1 1 1 275 415
"114" 23 2 4 0 1 0 0 -1 272 261
"114" 24 1 1 0 1 0 0 1 299 259
"114" 25 1 1 0 1 1 0 1 242 299
"114" 26 1 3 1 -1 1 0 1 217 254
"114" 27 1 1 1 1 1 1 -1 255 282
"114" 28 1 1 1 1 1 1 1 218 278
"114" 29 1 1 0 1 1 1 1 70 272
"114" 30 2 4 0 1 0 0 1 241 380
"114" 31 1 1 1 1 0 0 1 239 369
"114" 32 1 1 1 1 1 1 1 316 310
"114" 33 1 1 0 1 1 1 1 258 470
"114" 34 1 4 0 -1 1 0 1 290 501
"114" 35 1 3 0 -1 1 0 -1 111 225
"114" 36 1 3 0 -1 1 0 -1 151 243
"114" 37 2 4 1 1 0 0 -1 238 255
"114" 38 2 2 1 -1 1 1 1 272 362
"114" 39 2 4 1 1 1 1 -1 343 374
"114" 40 2 4 1 1 1 1 1 62 150
"114" 41 2 4 0 1 1 1 1 230 308
