"subjID"	"Trial"	"Stage1"	"Stage2"	"Stay"	"RT"	"PrSSReward"	"transition"	"PrReward"	"PrTransition"
111	106	1	-1	1	240	-1	-1	-1	-1
111	106	-1	1	0	423	-1	-1	-1	-1
111	107	1	-1	1	272	1	1	-1	-1
111	107	-1	1	0	236	1	1	-1	-1
111	108	1	-1	1	286	1	1	1	1
111	108	-1	1	1	371	1	1	1	1
111	109	1	-1	1	255	1	1	1	1
111	109	-1	1	1	230	1	1	1	1
111	110	1	-1	1	218	1	1	1	1
111	110	-1	1	1	593	1	1	1	1
111	111	1	-1	1	305	1	1	1	1
111	111	-1	1	1	234	1	1	1	1
111	112	1	-1	1	255	1	1	1	1
111	112	-1	1	1	234	1	1	1	1
111	113	1	-1	1	255	-1	-1	1	1
111	113	-1	1	1	289	-1	-1	1	1
111	114	1	-1	1	238	1	1	-1	-1
111	114	-1	1	0	230	1	1	-1	-1
111	115	1	-1	1	246	1	1	1	1
111	115	-1	1	0	172	1	1	1	1
111	116	1	-1	1	246	-1	1	-1	1
111	116	-1	1	1	230	-1	1	-1	1
111	117	1	-1	1	239	1	1	1	1
111	117	-1	1	1	266	1	1	1	1
111	118	1	-1	1	248	1	1	1	1
111	118	-1	1	1	233	1	1	1	1
111	119	1	-1	1	239	-1	-1	-1	1
111	119	-1	1	1	230	-1	-1	-1	1
111	120	1	-1	1	310	-1	1	-1	-1
111	120	-1	1	0	328	-1	1	-1	-1
111	121	1	-1	1	242	-1	-1	-1	1
111	121	-1	1	0	274	-1	-1	-1	1
111	122	1	-1	1	303	-1	1	-1	-1
111	122	-1	1	0	202	-1	1	-1	-1
111	123	1	-1	1	302	1	1	1	1
111	123	-1	1	1	130	1	1	1	1
111	124	1	-1	1	262	1	1	1	1
111	124	-1	1	1	245	1	1	1	1
111	125	1	-1	1	239	1	1	1	1
