"NS" "Trial" "Resp" "Reward" "Transition" "PrReward" "PrTransition" "Stay"
"116" 18 1 1 1 1 -1 1
"116" 19 1 1 1 1 1 1
"116" 20 1 1 1 1 1 1
"116" 21 1 1 -1 1 1 1
"116" 22 1 1 -1 1 -1 1
"116" 23 1 1 -1 1 -1 1
"116" 24 1 1 -1 1 -1 1
"116" 25 1 -1 1 1 -1 1
"116" 26 1 -1 -1 -1 1 1
"116" 27 1 -1 1 -1 -1 1
"116" 29 1 1 1 1 1 1
"116" 30 1 1 1 1 1 1
"116" 31 2 1 -1 1 1 0
"116" 32 2 -1 1 1 -1 1
"116" 33 2 1 1 -1 1 1
"116" 34 2 -1 1 1 1 1
"116" 35 2 1 1 -1 1 1
"116" 36 2 1 1 1 1 1
"116" 37 2 -1 1 1 1 1
"116" 38 1 1 1 -1 1 0
"116" 39 1 -1 -1 1 1 1
"116" 40 1 1 1 -1 -1 1
"116" 41 1 -1 1 1 1 1
"116" 42 2 -1 1 -1 1 0
"116" 43 1 1 1 -1 1 0
"116" 44 1 -1 1 1 1 1
"116" 45 1 1 1 -1 1 1
"116" 46 1 1 -1 1 1 1
"116" 47 1 -1 1 1 -1 1
"116" 48 1 1 -1 -1 1 1
"116" 49 1 -1 -1 1 -1 1
"116" 50 1 1 1 -1 -1 1
"116" 51 1 1 1 1 1 1
"116" 52 1 1 1 1 1 1
"116" 53 1 1 -1 1 1 1
"116" 54 2 1 1 1 -1 0
"116" 55 2 1 -1 1 1 1
"116" 56 2 -1 1 1 -1 1
"116" 57 2 -1 1 -1 1 1
"116" 58 2 1 1 -1 1 1
"116" 59 2 -1 1 1 1 1
"116" 60 1 1 -1 -1 1 0
"116" 61 1 1 1 1 -1 1
"116" 62 1 -1 1 1 1 1
"116" 63 1 1 1 -1 1 1
"116" 65 2 -1 1 1 1 0
"116" 66 2 1 1 -1 1 1
"116" 67 2 -1 -1 1 1 1
"116" 68 1 1 -1 -1 -1 0
"116" 69 1 1 1 1 -1 1
"116" 70 1 1 1 1 1 1
"116" 71 1 1 1 1 1 1
"116" 72 1 1 1 1 1 1
"116" 73 1 -1 -1 1 1 1
"116" 74 1 1 1 -1 -1 1
